št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
0;6152104000;I;2013;-2,86;-0,41;-0,05;-0,05;0,95;0,95;7732,45;-7805,85;-0,48;0,14;0,00;0,60;0,97;0,25;0,35;-0,17;-0,03;0,00;0,04;-0,07;1,07;-0,07;150,00;0,00;1,16;1,00;0,04;0,93;0,00;0,93;0,64;7,42;33,70;8,68;8,48;46,96;-0,12;-0,01;-0,11;-0,11;-0,27;1,78;-1,00;10,33;0,00
1;5732301000;I;2017;0,10;0,05;0,06;0,03;1,02;1,03;24159,47;948,54;0,10;0,34;0,00;1,62;1,79;0,00;2,13;1,42;0,25;0,08;0,16;0,55;0,45;1,24;2,39;0,12;0,56;0,00;0,42;0,58;0,00;0,58;0,08;3,40;7,27;8,45;6,14;15,10;0,03;0,00;0,01;0,02;0,14;-0,02;-0,28;11,87;0,00
2;2120216000;I;2013;-1,16;-0,08;0,13;-0,12;0,91;0,90;20613,41;-4143,58;-0,10;0,00;0,00;0,00;0,01;0,00;0,03;0,03;-0,97;-1,18;0,01;0,03;0,97;0,03;8,96;0,00;91,54;0,00;0,11;0,00;0,00;0,00;0,20;0,75;124,27;1,90;93,36;0,00;-0,07;-0,08;-0,07;-0,07;-0,15;-0,15;-1,00;11,40;0,00
3;6963447000;I;2015;1,03;0,22;0,08;0,06;1,06;1,06;24597,54;5657,38;0,26;0,00;0,00;0,63;0,67;0,54;0,15;0,89;-0,09;-0,02;0,01;0,24;0,76;0,32;2,12;0,50;1,49;0,00;0,83;0,17;0,00;0,17;0,11;4,48;229,74;19,33;27,30;0,00;1,00;0,06;0,26;0,34;0,04;0,15;0,96;11,49;0,00
4;6251102000;I;2014;-0,03;-0,01;0,01;0,01;1,00;1,01;15486,84;-74,67;0,08;0,02;0,00;1,62;1,74;0,91;0,71;2,60;0,41;0,06;0,06;0,28;0,73;0,38;9,57;0,00;0,76;0,00;0,04;0,77;0,18;0,95;1,00;8,66;24,02;12,13;11,80;23,91;0,45;0,04;0,25;0,34;0,65;0,76;-1,00;10,26;0,00
5;5001218000;I;2014;0,00;0,00;-0,04;-0,15;1,01;0,87;18093,35;103,76;-0,03;0,46;0,00;1,41;1,46;1,31;0,21;1,01;0,03;0,15;0,03;0,87;0,13;6,69;150,00;0,06;0,73;0,00;0,59;0,02;0,39;0,09;0,17;0,17;26,15;4,05;11,88;1,76;0,34;0,11;0,02;0,16;-0,02;-0,06;-0,61;14,41;0,00
6;2298082000;I;2015;-2,00;0,17;0,78;0,33;1,31;1,50;139959,23;53288,52;0,27;-0,51;0,00;0,11;0,11;0,00;0,23;0,44;-0,53;-0,67;0,08;-0,33;1,33;-0,25;2,15;0,73;9,27;1,00;0,05;0,06;0,87;0,06;-0,62;0,18;4,59;0,57;0,97;0,00;1,00;0,75;0,59;0,45;0,02;0,35;1,00;16,26;0,00
7;1273019000;I;2014;2,65;0,02;0,00;-0,01;1,04;0,99;18554,00;636,33;-0,01;-0,17;0,00;1,00;1,02;1,00;0,00;0,88;0,02;0,03;0,01;0,02;0,98;0,02;150,00;0,00;0,98;0,00;0,00;0,02;0,97;1,00;0,00;0,61;210,40;0,62;26,73;172,14;-0,11;-0,17;-0,11;-0,11;-0,11;-0,17;1,00;11,09;0,00
8;7030657000;I;2017;0,19;0,02;0,00;0,00;1,00;1,00;12551,27;80,30;0,02;-1,49;0,00;0,88;0,88;0,07;0,80;0,47;-0,11;-0,02;0,14;0,10;0,90;0,11;52,87;0,00;1,14;0,00;0,21;0,79;0,00;0,79;1,00;6,42;13,86;3,41;8,78;0,00;0,03;0,01;0,03;0,03;0,79;0,25;1,00;8,46;0,00
9;6545831000;I;2014;0,71;0,17;0,03;0,02;1,02;1,02;15784,02;884,23;0,10;0,00;0,00;0,45;1,24;0,07;0,39;0,37;0,18;0,04;0,06;0,25;0,75;0,33;6,02;0,00;0,82;0,00;0,08;0,92;0,00;0,92;1,25;10,12;36,31;9,93;10,77;57,03;-0,05;-0,01;-0,03;-0,04;0,02;0,07;1,00;10,76;0,00
10;6968805000;I;2016;0,21;0,20;0,04;0,04;1,04;1,04;16542,67;1168,00;0,17;0,00;0,00;8,91;8,91;8,91;0,00;0,84;0,89;0,22;0,00;0,89;0,11;7,91;0,67;0,00;0,11;0,00;0,00;1,00;0,00;1,00;0,06;4,78;19,88;30,88;7,89;5,12;2,50;0,07;0,28;2,50;0,39;0,07;1,00;9,25;0,00
11;5472105000;I;2017;0,27;0,17;0,26;0,20;1,24;1,25;41127,60;11558,54;0,21;0,48;0,00;0,30;0,32;0,25;0,07;0,85;-0,13;-0,13;0,01;0,69;0,31;2,22;1,15;0,11;3,11;0,00;0,94;0,06;0,00;0,06;0,10;1,06;106,57;2,73;17,32;0,00;0,95;0,18;0,19;0,61;0,07;0,19;0,41;13,12;0,00
12;2010348000;I;2017;-0,04;-0,01;0,02;-0,01;1,00;0,99;13287,35;-445,23;-0,01;0,09;0,00;1,11;1,12;0,96;0,15;2,33;0,10;0,16;0,20;0,16;0,84;0,19;90,86;0,00;0,89;0,00;0,05;0,15;0,80;0,95;0,06;0,67;5,44;0,57;4,33;6,24;0,16;0,22;0,14;0,16;0,14;0,02;-1,00;12,07;0,00
13;1816047000;I;2016;-2,00;0,01;0,24;0,01;1,06;1,01;26821,42;1638,99;0,00;-0,22;0,00;3,18;3,18;2,60;0,58;1,06;0,06;0,25;0,07;-0,14;1,14;-0,12;21,02;1,11;0,32;1,00;0,92;0,08;0,00;0,08;0,01;0,22;15,20;1,13;1,99;3,88;2,26;0,26;0,06;0,05;-0,05;-0,01;1,00;11,73;0,00
14;2250004000;I;2015;0,42;0,10;0,06;0,03;1,03;1,03;27556,65;3313,11;0,08;0,11;0,00;0,95;0,96;0,64;0,32;0,95;-0,02;-0,01;0,08;0,21;0,79;0,27;5,12;0,16;1,04;0,00;0,39;0,59;0,00;0,60;0,75;3,51;18,36;4,36;5,51;234,81;0,63;0,15;0,40;0,50;1,16;0,90;0,15;13,05;0,00
15;7039522000;I;2017;-2,00;0,29;0,04;0,03;1,03;1,03;17183,18;1525,87;0,27;-0,19;0,00;0,86;0,86;0,76;0,10;-0,88;-0,15;-0,02;0,01;-0,07;1,07;-0,07;3,38;0,00;1,16;1,00;0,08;0,92;0,00;0,92;0,00;10,55;71,72;5,91;11,54;0,00;0,35;0,04;0,38;0,35;0,43;1,26;1,00;11,04;0,00
